"LOCATION,""INDICATOR"",""SUBJECT"",""MEASURE"",""FREQUENCY"",""TIME"",""Value"",""Flag Codes"""
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1973-10"",100.8471,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1973-11"",99.5938,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1973-12"",98.32666,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1974-01"",97.22242,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1974-02"",96.42682,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1974-03"",95.85815,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1974-04"",95.43796,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1974-05"",95.1188,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1974-06"",94.80991,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1974-07"",94.44092,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1974-08"",94.06498,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1974-09"",93.73276,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1974-10"",93.4489,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1974-11"",93.29383,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1974-12"",93.34819,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1975-01"",93.65557,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1975-02"",94.16678,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1975-03"",94.79115,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1975-04"",95.4575,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1975-05"",96.12074,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1975-06"",96.72009,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1975-07"",97.22321,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1975-08"",97.66971,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1975-09"",98.13278,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1975-10"",98.57419,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1975-11"",99.07643,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1975-12"",99.62707,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1976-01"",100.1833,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1976-02"",100.6622,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1976-03"",101.0176,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1976-04"",101.1993,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1976-05"",101.1578,"
"GBR,""CLI"",""AMPLITUD"",""LTRENDIDX"",""M"",""1976-06"",100.9098,"
